operation,key_a,key_b
set,key_0,6
set,key_1,4
set,key_2,5
set,key_3,6
set,key_4,4
set,key_5,1
set,key_6,2
set,key_7,2
set,key_8,3
set,key_9,9
div,key_1,key_3
add,key_0,key_7
div,key_0,key_9
div,key_6,key_8
add,key_7,key_1
add,key_3,key_8
mult,key_8,key_8
mult,key_1,key_4
div,key_2,key_0
add,key_7,key_0
div,key_7,key_7
add,key_1,key_1
mult,key_9,key_4
mult,key_4,key_8
div,key_3,key_3
sub,key_6,key_6
mult,key_7,key_5
sub,key_9,key_0
add,key_9,key_4
add,key_2,key_6
add,key_0,key_5
add,key_3,key_6
add,key_6,key_5
sub,key_1,key_1
add,key_4,key_5
div,key_9,key_9
sub,key_9,key_6
div,key_4,key_1
mult,key_8,key_1
mult,key_5,key_5
sub,key_6,key_6
sub,key_4,key_7
sub,key_7,key_2
mult,key_4,key_3
sub,key_7,key_7
add,key_0,key_7
mult,key_6,key_2
div,key_7,key_6
sub,key_0,key_7
add,key_4,key_6
sub,key_6,key_3
div,key_9,key_0
sub,key_8,key_4
div,key_9,key_7
add,key_6,key_2
sub,key_2,key_4
add,key_7,key_5
add,key_6,key_0
div,key_0,key_7
mult,key_1,key_1
add,key_5,key_8
add,key_6,key_7
add,key_5,key_0
sub,key_7,key_2
sub,key_5,key_6
sub,key_2,key_7
sub,key_7,key_7
add,key_2,key_2
mult,key_7,key_6
add,key_0,key_9
mult,key_5,key_1
mult,key_7,key_3
mult,key_3,key_4
add,key_7,key_6
div,key_3,key_3
div,key_6,key_9
add,key_9,key_8
sub,key_8,key_5
div,key_4,key_4
sub,key_4,key_9
add,key_3,key_5
mult,key_1,key_2
sub,key_2,key_4
mult,key_3,key_9
div,key_0,key_4
add,key_8,key_0
sub,key_8,key_8
div,key_8,key_3
div,key_2,key_5
div,key_8,key_6
div,key_1,key_0
div,key_7,key_3
add,key_0,key_8
mult,key_3,key_2
add,key_7,key_4
sub,key_9,key_6
div,key_9,key_5
add,key_5,key_9
mult,key_8,key_6
sub,key_3,key_0
div,key_3,key_1
mult,key_7,key_6
div,key_5,key_1
div,key_0,key_7
mult,key_3,key_6
mult,key_4,key_5
sub,key_0,key_9
div,key_9,key_7
mult,key_5,key_8
add,key_5,key_2
